"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.233854170E-2,1.098364377E-1,9.742689192E-2,-5.325118498E-1,5.523811297E-1
4.233254166E-2,5.966937393E-3,1.120396686E-1,-3.413172900E-1,3.592853798E-1
5.232754163E-2,-7.054197907E-2,1.388690329E-1,-2.415859739E-1,2.874448849E-1
6.232254184E-2,-1.746352816E-1,1.190083802E-1,-2.373292009E-1,3.177823559E-1
7.231654180E-2,-1.742503886E-1,4.706540823E-2,-2.050993482E-1,2.732107121E-1
8.231154177E-2,-1.336366519E-1,-5.820435405E-2,-1.540875810E-1,2.121072469E-1
9.230654174E-2,-6.909325831E-2,-1.779108918E-1,-1.642015100E-1,2.517703311E-1
1.023005417E-1,1.255453480E-1,-1.622999954E-1,-1.480918461E-1,2.530496351E-1
1.122955417E-1,1.798673701E-1,-3.434011281E-2,-3.425415874E-2,1.862924088E-1
1.222905417E-1,1.762602228E-1,-2.882560372E-2,3.448103070E-2,1.818997610E-1
1.322845418E-1,2.149334148E-1,-9.124053776E-2,6.786468521E-2,2.431600790E-1
1.422795418E-1,1.669904125E-1,-7.394973636E-2,7.565697715E-2,1.976824210E-1
1.522745418E-1,1.594557635E-2,-9.471904635E-3,-8.555719033E-3,2.042495314E-2
1.622685418E-1,4.308615871E-2,-7.289723754E-3,-1.324598998E-1,1.394818346E-1
1.722635417E-1,1.698671696E-1,-1.019994146E-1,-2.140754820E-1,2.916968424E-1
1.822585417E-1,1.693875517E-1,-1.481357002E-1,-2.141649444E-1,3.106492424E-1
1.922525417E-1,2.098670948E-1,-1.363319260E-1,-1.676537061E-1,3.012280808E-1
2.022475416E-1,2.468028597E-1,-1.055404884E-1,-1.308660950E-1,2.986241468E-1
2.122425418E-1,2.241423409E-1,-6.033040166E-2,-1.009651883E-1,2.531274690E-1
2.222365418E-1,1.797857284E-1,-5.126721740E-2,-5.451461479E-2,1.947384886E-1
2.322315418E-1,1.540417535E-1,-7.406960428E-2,1.007460639E-2,1.712211021E-1
2.422265417E-1,1.001428505E-1,-6.615832150E-2,6.471449777E-2,1.363579122E-1
2.522205417E-1,3.492541909E-3,-2.160019934E-2,4.297937393E-2,4.822855009E-2
2.622155417E-1,-8.347083069E-2,4.358105242E-2,-1.218922269E-1,1.540272791E-1
2.722105416E-1,-4.240335010E-2,4.245195508E-2,-3.376107766E-1,3.429012235E-1
2.822045418E-1,-1.365909576E-2,2.995996356E-2,-4.921018155E-1,4.932021564E-1
2.921995418E-1,-6.521567725E-2,7.225345910E-2,-5.600302354E-1,5.684254669E-1
3.021945418E-1,-6.439173147E-2,7.153892934E-2,-4.949171036E-1,5.041895011E-1
3.121885417E-1,-1.152997836E-1,3.465761662E-2,-3.779705979E-1,3.966824465E-1
3.221835417E-1,-1.465185796E-1,2.649841189E-2,-2.609822845E-1,3.004689882E-1
3.321785417E-1,-1.211404212E-1,5.307049870E-2,-2.383892280E-1,2.726186045E-1
3.421725417E-1,-8.582930513E-2,1.138435346E-1,-3.513907635E-1,3.792129859E-1
3.521675416E-1,-1.055931133E-1,1.938960099E-1,-5.592025620E-1,6.012096752E-1
3.621625418E-1,-7.579393356E-1,2.240261275E-1,-4.947808635E-1,9.324525967E-1
3.721575418E-1,-8.134492195E-1,2.588661772E-1,-3.617958838E-1,9.271502532E-1
3.821515418E-1,-5.971666329E-1,2.249809778E-1,-2.242529994E-1,6.763976904E-1
3.921465417E-1,-3.544541929E-1,1.869664747E-1,-1.926265794E-1,4.446338230E-1
4.021415417E-1,3.097343221E-3,3.178195596E-2,-3.851293440E-1,3.864508997E-1
4.121355417E-1,1.825225908E-1,2.055881023E-3,-7.074476051E-1,7.306167510E-1
4.221305416E-1,-3.152400604E-1,8.836897016E-2,-5.744228643E-1,6.611709292E-1
4.321255418E-1,-3.746529608E-1,3.037891656E-1,-5.766828132E-1,7.518083301E-1
4.421195418E-1,-4.886734468E-1,4.307743174E-1,-3.898154488E-1,7.591602823E-1
4.521145418E-1,-8.268760347E-1,5.866786283E-1,-1.771910995E-2,1.014016645E0
4.621095418E-1,-8.615071195E-1,4.627948397E-1,-1.911215061E-1,9.964441835E-1
4.721036667E-1,-1.910781636E-1,5.865546674E-1,-2.619005898E-1,6.701859155E-1
4.820986667E-1,1.890624822E-1,4.324916446E-1,-4.251995820E-1,6.352860217E-1
